thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff
0.3,win95pts,p1,0.0000001,1.000000,0.7131571310758591,0.276843,3,0.016000,0.036000,0.27462659133503137,0.715373,0.0221099853515625,0.438531,0.013890,0.715373,0.438530
0.35,win95pts,p1,0.0000001,1.000000,0.65834081649780274,0.331659,3,0.017000,0.021000,0.27462659133503137,0.715373,0.0221099853515625,0.383714,-0.001110,0.715373,0.383714
0.4,win95pts,p1,0.0000001,1.000000,0.60352404594421383,0.386476,3,0.026000,0.031000,0.27462659133503137,0.715373,0.0221099853515625,0.328897,0.008890,0.715373,0.328897
0.45,win95pts,p1,0.0000001,1.000000,0.54870818734169002,0.441292,3,0.029000,0.033000,0.27462659133503137,0.715373,0.0221099853515625,0.274082,0.010890,0.715373,0.274081
0.5,win95pts,p1,0.0000001,1.000000,0.49389187276363372,0.496108,3,0.018000,0.028000,0.27462659133503137,0.715373,0.0221099853515625,0.219265,0.005890,0.715373,0.219265
0.55,win95pts,p1,0.0000001,1.000000,0.4390755295753479,0.550924,4,0.014000,0.019000,0.27462659133503137,0.715373,0.0221099853515625,0.164449,-0.003110,0.715373,0.164449
0.6,win95pts,p1,0.0000001,1.000000,0.38425922393798828,0.605741,4,0.020000,0.028000,0.27462659133503137,0.715373,0.0221099853515625,0.109633,0.005890,0.715373,0.109632
0.65,win95pts,p1,0.0000001,1.000000,0.32944285869598389,0.660557,4,0.023000,0.035000,0.27462659133503137,0.715373,0.0221099853515625,0.054816,0.012890,0.715373,0.054816
0.7,win95pts,p1,0.0000001,1.000000,0.27462649345397949,0.715374,4,0.021000,0.027000,0.27462659133503137,0.715373,0.0221099853515625,0.000000,0.004890,0.715373,0.000001
0.75,win95pts,p1,0.0000001,1.000000,0.21981024742126465,0.770190,4,0.013000,0.018000,0.27462659133503137,0.715373,0.0221099853515625,0.054816,-0.004110,0.715373,0.054817
0.8,win95pts,p1,0.0000001,1.000000,0.16499394178390503,0.825006,4,0.015000,0.021000,0.27462659133503137,0.715373,0.0221099853515625,0.109633,-0.001110,0.715373,0.109633
0.85,win95pts,p1,0.0000001,1.000000,0.11017757654190063,0.879822,4,0.013000,0.017000,0.27462659133503137,0.715373,0.0221099853515625,0.164449,-0.005110,0.715373,0.164449
0.9,win95pts,p1,0.0000001,1.000000,0.055360794067382812,0.934639,4,0.016000,0.020000,0.27462659133503137,0.715373,0.0221099853515625,0.219266,-0.002110,0.715373,0.219266
0.95,win95pts,p1,0.0000001,1.000000,0.00054496526718139648,0.989455,4,0.012000,0.016000,0.27462659133503137,0.715373,0.0221099853515625,0.274082,-0.006110,0.715373,0.274082
0.3,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.35,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.4,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.45,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.5,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.55,sachs,p1,0.0000001,1.000000,0.63799280290866855,0.087170,1,0.003000,0.003000,0.9755397345978837,0.424716,0.023699283599853516,0.337547,-0.020699,0.424717,0.337547
0.6,sachs,p1,0.0000001,1.000000,0.75050841634536747,0.199685,2,0.021000,0.024000,0.9755397345978837,0.424716,0.023699283599853516,0.225031,0.000301,0.424717,0.225032
0.65,sachs,p1,0.0000001,1.000000,0.86302408066655634,0.312201,3,0.015000,0.019000,0.9755397345978837,0.424716,0.023699283599853516,0.112516,-0.004699,0.424717,0.112516
0.7,sachs,p1,0.0000001,1.000000,0.97553965070611237,0.424716,3,0.021000,0.025000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,0.001301,0.424717,0.000000
0.75,sachs,p1,0.0000001,1.000000,10000,10,6,0.001000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.012699,0.424717,9999.024460
0.8,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.012699,0.424717,9999.024460
0.85,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.012000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.011699,0.424717,9999.024460
0.9,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.013000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.010699,0.424717,9999.024460
0.95,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.012000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.011699,0.424717,9999.024460
